2f0f65c0-b739-4af8-9e46-f3b66824164b,Waroeng Bernadette,5.0,Indonesian,100000.0,Badung,"Jl. Kayu Aya No.17 Kayu Aya Square Oberoi, Seminyak 80361 Indonesia"
6ab5fc29-f006-4e1c-ad1d-69d522451a3b,Azul Beach Club,4.5,Bar,300000.0,Badung,"Jl. Padma No. 2 Bali Mandira Beach Resort & Spa, Legian 80361 Indonesia"
99fad27b-56e8-441a-a5bb-47c71db0544a,Secret Garden Restaurant,5.0,Seafood,300000.0,Buleleng,"Jl. Pura Dalem, Anturan, Lovina Beach 81116 Indonesia"
4d0e1381-63de-422c-8fdc-6750dd258471,El Kabron Bali,5.0,International,300000.0,Badung,"Jl. Pantai Cemongkak, Pecatu 80361 Indonesia"
73f1295b-f6c6-4517-b3af-161842bfa6b7,Kisik Seafood & Grill,4.5,Seafood,500000.0,Badung,"Jl. Karang Mas Sejahtera, Jimbaran 80364 Indonesia"
ee5967b0-4cba-4eb9-8257-3b95ec6f04a9,Shrida Restaurant - Taste Of Ubud,5.0,Steakhouse,300000.0,Gianyar,"Jln. Bisma, Ubud, Gianyar, Bali, Ubud 80571 Indonesia"
539b1370-b996-477a-9a73-700acc8ffffb,Mambo Beach Restaurant Beach Bar & Cafe Nusa Penida,5.0,American,300000.0,Klungkung,"Jalan Ped - Buyuk, Ped 80771 Indonesia"
1f79f729-d02d-42b0-a47f-f59d0f3b18ff,Tamarind Mediterranean Restaurant,4.5,Seafood,300000.0,Badung,"Lot North 4 Nusa Dua Beach Hotel & Spa, Nusa Dua, Benoa 80361 Indonesia"
8ee7497e-1424-467c-9d22-706f24d10d41,Lilla Pantai,4.5,Bar,300000.0,Denpasar,"Jalan Duyung Jalan Sanur Beach Street Walk, Sanur, Denpasar 80228 Indonesia"
4736b471-09e2-45fb-a151-b9361de294bd,Zai Cafe,5.0,Mediterranean,300000.0,Badung,"Jl. Pantai Batu Bolong, Canggu 80351 Indonesia"
68f2495e-bccb-4a65-9530-2896cddfe206,The Botanist By Desa Eko,4.5,Italian,300000.0,Buleleng,"Jl. Kayu Putih - Munduk The Botanist, Munduk, Banjar 81152 Indonesia"
01e961ef-f356-4c28-939e-0f42b160adeb,Beach Boy Canggu,5.0,International,300000.0,Badung,"Jl. Munduk Catu No.8, Canggu 80361 Indonesia"
cb1b1756-de70-412a-81b9-beaeccb85110,La Brisa,4.0,Bar,300000.0,Badung,"Jl. Pantai Batu Mejan Gang La Brisa Echo Beach, Canggu 80361 Indonesia"
98c3a54f-d66c-4b97-88c5-86735bd79399,Warung Ketut,5.0,Seafood,100000.0,Karangasem,"Jl. Raya Lipah, Amed, Bunutan, Karangasem 80852 Indonesia"
d6fe1f8f-ec98-41f9-af16-b1e8eea85006,Asri Dining By Samanvaya,5.0,International,300000.0,Karangasem,"Banjar Tabola, Telaga Tawang, Sidemen, Karangasem 80864 Indonesia"
