name,rating,price_wna,city
Kamandalu Ubud,4.55,5083724.0,Gianyar
The Light Exclusive Villa and Spa,4.15,1788600.0,Badung
The Akmani Legian,4.3,1144243.0,Badung
The Vira Bali Boutique Hotel & Suite,4.35,2821500.0,Badung
Element by Westin Bali Ubud,4.5,1936000.0,Gianyar
Fairfield by Marriott Bali Legian,4.35,1903733.0,Badung
Kuta Seaview Boutique Hotel & Spa,4.3,3330000.0,Badung
Aloft Bali Seminyak- CHSE Certified,4.4,2065067.0,Badung
Hotel Zia Bali - Kuta,4.15,1303935.0,Badung
Bali Elephant,3.95,540000.0,Badung
Grand Mirage Resort & Thalasso Bali,4.25,1881187.0,Badung
CLIO APARTMENTS,4.35,900000.0,Badung
"Sthala, a Tribute Portfolio Hotel, Ubud Bali",4.5,2097333.0,Gianyar
SereS Springs Resort & Spa,4.5,2766060.0,Gianyar
Sithala Villa Seminyak,4.4,4320000.0,Badung
The Ritz-Carlton Bali Villas,4.35,14600667.0,Badung
ZURI Express Jimbaran,4.3,511875.0,Badung
The Grand Bali Nusa Dua,4.3,1567500.0,Badung
Padma Resort  Legian,4.55,10664100.0,Badung
Mars City Hotel,3.9,592200.0,Denpasar
Puri Padma Hotel,4.35,1890000.0,Gianyar
Royal Regantris Kuta,4.3,465483.0,Badung
The Jas Villas,4.1,4095000.0,Badung
Watermark Hotel and Spa Bali,4.35,1099156.0,Badung
The Kana Kuta Hotel,4.35,1284904.0,Badung
Solia Legian Bali,4.4,810000.0,Badung
Taksu Sanur Hotel,4.35,1600200.0,Denpasar
Bali Garden Beach Resort,4.2,2160000.0,Badung
J4 Hotels Legian,4.3,6966000.0,Badung
The Wangsa Hotel and Villas Benoa,4.25,807600.0,Badung
Best Western Premier Agung Resort Ubud,4.4,1314000.0,Gianyar
Villa Seminyak Estate & Spa By Astadala,4.35,1368000.0,Badung
Ulu Segara Luxury Suites and Villas,4.4,2195389.0,Badung
Marriott Bali Nusa Dua Gardens - CHSE Certified,4.4,3630000.0,Badung
Bali Tropic Resort & Spa,4.25,2137500.0,Badung
Mercure Resort Sanur,4.2,998760.0,Denpasar
Bali Relaxing Resort & Spa,4.25,1479600.0,Badung
Padmasari Resort,4.35,2700000.0,Buleleng
Sanur Agung Hotel,3.95,332500.0,Denpasar
Grandmas Plus Hotel - Legian,4.4,2666666.0,Badung
Tijili Seminyak,4.45,1409902.0,Badung
Best Western Resort Kuta,4.05,639000.0,Badung
ION Bali Benoa Hotel,4.05,720000.0,Badung
Titik Dua,4.55,2392000.0,Gianyar
The Bene - By Astadala,4.15,685886.0,Badung
Holiday Inn Express BARUNA BALI,4.2,1421141.0,Badung
New Sunari Lovina Beach Resort,3.85,702000.0,Buleleng
Paisa Seminyak Living,4.2,1989833.0,Badung
Cara Cara Inn,4.4,390600.0,Badung
Negara Hotel,4.0,405000.0,Jembrana
bvilla+spa,4.15,3915723.0,Badung
Arena Living,4.45,1260000.0,Denpasar
Praja Hotel,4.25,302921.0,Denpasar
S18 Bali Villas,4.45,3811500.0,Badung
Ayola Bali Jimbaran,4.2,384000.0,Badung
The Lovina Bali,4.45,3366250.0,Buleleng
The Samaya Seminyak,4.25,11979000.0,Badung
Maison Aurelia Sanur - by PrÃ©fÃ©rence,4.4,2840000.0,Denpasar
Signature Seminyak Smart Hotel,4.15,558000.0,Badung
Prana Villa Jimbaran,4.25,534843.0,Badung
The Sintesa Jimbaran Bali,4.15,764716.0,Badung
The Garcia Ubud Hotel and Resort,4.5,4418582.0,Gianyar
Amnaya Resort Nusa Dua,4.55,9339574.0,Badung
Jas Green Villas And Spa,4.05,4005000.0,Badung
SOL by MeliÃ¡ Kuta Bali,4.15,1150569.0,Badung
One Eleven,4.6,10800000.0,Badung
18 Suite Villa Loft,4.5,1133334.0,Badung
