hotel_name,original_price,price_after_discount,tax,rating,location
Ramada by Wyndham Bali Sunset Road Kuta,852163,639122,Inclusive of taxes,8.2,Badung
Grand Istana Rama Hotel,1242487,741260,Inclusive of taxes,8.3,Badung
Hotel Nikko Bali Benoa Beach,1807937,1217160,Inclusive of taxes,8.6,Tanjung Benoa
Boss Legian Hotel,491323,450001,Inclusive of taxes,8.2,Legian
Courtyard by Marriott Bali Nusa Dua Resort,2581333,1936000,Inclusive of taxes,8.6,Nusa Dua Beach
Aksari Resort Ubud,7480000,4862000,Inclusive of taxes,8.9,Tegallalang
Tijili Benoa Hotel,1890000,1228500,Inclusive of taxes,8.8,Tanjung Benoa
The St. Regis Bali Resort - CHSE Certified,10164000,7623000,Inclusive of taxes,9.0,Nusa Dua Beach
Swiss Belhotel Rainforest,1113333,835000,Inclusive of taxes,8.3,Badung
Bedrock Hotel Kuta Bali,1530000,703800,Inclusive of taxes,8.6,Badung
Four Seasons Resort Bali at Jimbaran Bay - CHSE Certified,24377467,18283100,Inclusive of taxes,8.8,Jimbaran
HARRIS Hotel Seminyak,1005000,904500,Inclusive of taxes,8.5,Seminyak
Benoa Sea Suites and Villas,2880000,1180800,Inclusive of taxes,8.6,Tanjung Benoa
Grand Zuri Kuta Bali,1136591,750150,Inclusive of taxes,8.6,Badung
Prime Plaza Hotel Sanur â Bali,1307992,837115,Inclusive of taxes,8.5,Sanur
Bali Paragon Resort Hotel,1313641,518888,Inclusive of taxes,8.5,Jimbaran
Samabe Bali Suites & Villas,7185914,6108027,Inclusive of taxes,9.0,Nusa Dua Beach
Fairfield by Marriott Bali Kuta Sunset Road,1581067,1185800,Inclusive of taxes,8.7,Badung
"Four Points by Sheraton Bali, Kuta",1613333,1210000,Inclusive of taxes,8.5,Legian
Alila Seminyak,7381485,5536114,Inclusive of taxes,8.9,Seminyak
Mercure Bali Legian,1176120,882090,Inclusive of taxes,8.4,Legian
Grand Kuta Hotel & Residence,1260000,592200,Inclusive of taxes,8.4,Legian
Pandawa Hill Resort,864800,475640,Inclusive of taxes,8.7,Nusa Dua Beach
Artotel Sanur - Bali,1182600,946080,Inclusive of taxes,8.8,Sanur
Bulgari Resort Bali - CHSE Certified,37348667,28011500,Inclusive of taxes,9.2,Pecatu
Holiday Inn Resort Bali Benoa,2572999,1929787,Inclusive of taxes,9.0,Tanjung Benoa
Bhanuswari Resort & Spa,9176472,2294118,Inclusive of taxes,8.5,Kemenuh
Buana Bali Villas & Spa,5580000,3906000,Inclusive of taxes,8.9,Jimbaran
Le Meridien Bali Jimbaran - CHSE Certified,2339333,1754500,Inclusive of taxes,8.6,Jimbaran
Anantara Bali Uluwatu Resort,10742548,8594038,Inclusive of taxes,8.8,Pecatu
Hadi Poetra Hotel,1034000,351560,Inclusive of taxes,8.2,Badung
SIX SENSES ULUWATU BALI,23934017,17950513,Inclusive of taxes,8.4,Pecatu
"Mandapa, A Ritz-Carlton Reserve",21175001,15881251,Inclusive of taxes,8.7,Kedewatan
The Wakanda Resort A Pramana Experience,2357059,1532088,Inclusive of taxes,9.0,Kemenuh
BEST WESTERN Kuta Villa,540000,432000,Inclusive of taxes,8.1,Badung
ibis Styles Bali Benoa,978360,733770,Inclusive of taxes,8.3,Tanjung Benoa
The Mulia - Nusa Dua,11777533,8833150,Inclusive of taxes,9.2,Nusa Dua Beach
Amaris Teuku Umar Denpasar,460825,373269,Inclusive of taxes,8.2,West Denpasar
Stark Boutique Hotel and Spa Bali,1086869,597778,Inclusive of taxes,8.2,Badung
b Hotel Bali & Spa,1596942,630000,Inclusive of taxes,8.5,West Denpasar
Lovina Beach Club & Resort,1521000,1140750,Inclusive of taxes,8.5,Lovina
"Marriott's Autograph Collection, The Stones Hotel, Bali",2920133,2190100,Inclusive of taxes,8.8,"Marriott's Autograph Collection, The Stones Hotel"
Ohana Hotel Kuta,1350000,580500,Inclusive of taxes,8.6,Badung
Seminyak Icon by Karaniya Experience,7362500,2282375,Inclusive of taxes,8.7,Seminyak
SOL by Melia Benoa Bali-All Inclusive,1599624,1396023,Inclusive of taxes,8.4,Tanjung Benoa
HOTEL & RESIDENCES Riverview Kuta - Bali (Associated HARRIS),925200,832680,Inclusive of taxes,8.4,Badung
Hotel Santika Kuta,945000,614250,Inclusive of taxes,8.6,Badung
Wyndham Tamansari Jivva Resort,1018125,814500,Inclusive of taxes,8.7,Klungkung
Nunamkhalu Private Villas & Spa,6818181,5522727,Inclusive of taxes,9.2,Kutuh
Kaamala Resort Ubud,5073821,4109795,Inclusive of taxes,9.1,Ubud
Abian Harmony Hotel & Spa,1307968,584001,Inclusive of taxes,8.4,Sanur
ibis Styles Bali Denpasar,570274,427706,Inclusive of taxes,8.3,West Denpasar
"Four Points by Sheraton Bali, Ungasan",1290667,968000,Inclusive of taxes,8.7,Jimbaran
Vinila Villas Nusa Dua by Nakula,5568750,3898125,Inclusive of taxes,8.8,Nusa Dua
Kamandalu Ubud,5083724,3202746,Inclusive of taxes,9.1,Ubud
The Light Exclusive Villa and Spa,1788600,1341450,Inclusive of taxes,8.3,Seminyak
Zizz Convention Hotel,800001,600001,Inclusive of taxes,8.3,West Denpasar
The Akmani Legian,1144243,800970,Inclusive of taxes,8.6,Legian
The Vira Bali Boutique Hotel & Suite,2821500,1269675,Inclusive of taxes,8.7,Badung
Famous Hotel Kuta,5760000,2476800,Inclusive of taxes,8.4,Tuban
Element by Westin Bali Ubud,1936000,1452000,Inclusive of taxes,9.0,Ubud
Four Seasons Resort Bali at Sayan - CHSE Certified,22102667,16577000,Inclusive of taxes,9.2,Sayan
POP! Hotel Denpasar - Bali,380000,342000,Inclusive of taxes,8.0,North Denpasar
Fairfield by Marriott Bali Legian,1903733,1427800,Inclusive of taxes,8.7,Legian
"The Westin Resort & Spa Ubud, Bali",4356000,3267000,Inclusive of taxes,9.0,The Westin Resort & Spa Ubud
Kuta Seaview Boutique Hotel & Spa,3330000,1831500,Inclusive of taxes,8.6,Badung
Aloft Bali Seminyak- CHSE Certified,2065067,1548800,Inclusive of taxes,8.8,Seminyak
Jumeirah Bali,15477028,10624158,Inclusive of taxes,,Pecatu
Jumeirah Bali,15477028,10624158,Inclusive of taxes,,Pecatu
Hotel Zia Bali - Kuta,1303935,1056187,Inclusive of taxes,8.3,Badung
Bali Elephant,540000,270000,Inclusive of taxes,7.9,Jimbaran
Alam Kawi Ubud Resort & Spa,900000,135000,Inclusive of taxes,8.7,Tampaksiring
Grand Mirage Resort & Thalasso Bali,1881187,1722971,Inclusive of taxes,8.5,Tanjung Benoa
CLIO APARTMENTS,900000,810000,Inclusive of taxes,8.7,Seminyak
"Sthala, a Tribute Portfolio Hotel, Ubud Bali",2097333,1573000,Inclusive of taxes,9.0,Ubud
SereS Springs Resort & Spa,2766060,1797939,Inclusive of taxes,9.0,Ubud
Sithala Villa Seminyak,4320000,3240000,Inclusive of taxes,8.8,Seminyak
The Ritz-Carlton Bali Villas,14600667,10950500,Inclusive of taxes,8.7,Nusa Dua Beach
ZURI Express Jimbaran,511875,409500,Inclusive of taxes,8.6,Jimbaran
The Grand Bali Nusa Dua,1567500,1175625,Inclusive of taxes,8.6,Nusa Dua Beach
Padma Resort  Legian,10664100,3305871,Inclusive of taxes,9.1,Legian
Mars City Hotel,592200,248724,Inclusive of taxes,7.8,Denpasar
Klapa Resort,2160000,1836000,Inclusive of taxes,8.5,Pecatu
Amaroossa Suite Bali,826500,528960,Inclusive of taxes,7.9,Nusa Dua
The Vasini Hotel,585000,257400,Inclusive of taxes,8.3,East Denpasar
Puri Padma Hotel,1890000,945000,Inclusive of taxes,8.7,Ubud
Karma Kandara,9040330,8279999,Inclusive of taxes,8.5,Ungasan
Kutus Kutus Saba Beach Villa,3781819,3063273,Inclusive of taxes,,Saba
Royal Regantris Kuta,465483,377041,Inclusive of taxes,8.6,Badung
The Jas Villas,4095000,1269450,Inclusive of taxes,8.2,Seminyak
Watermark Hotel and Spa Bali,1099156,754540,Inclusive of taxes,8.7,Jimbaran
The Kana Kuta Hotel,1284904,703499,Inclusive of taxes,8.7,Badung
Ashoka Tree Resort at Tanggayuda,1260000,604800,Inclusive of taxes,8.6,Kedewatan
Solia Legian Bali,810000,583200,Inclusive of taxes,8.8,Legian
Jumana Bali Ungasan Resort Managed by Hilton,12906667,9680000,Inclusive of taxes,8.8,Ungasan
Taksu Sanur Hotel,1600200,800100,Inclusive of taxes,8.7,Sanur
Bali Garden Beach Resort,2160000,1620000,Inclusive of taxes,8.4,Badung
J4 Hotels Legian,6966000,2786400,Inclusive of taxes,8.6,Legian
The Wangsa Hotel and Villas Benoa,807600,605700,Inclusive of taxes,8.5,Tanjung Benoa
ibis Bali Kuta,634799,476099,Inclusive of taxes,8.2,Tuban
Best Western Premier Agung Resort Ubud,1314000,1051200,Inclusive of taxes,8.8,Ubud
Kayangan Villa Ubud,1372750,892288,Inclusive of taxes,8.9,Tegallalang
Villa Seminyak Estate & Spa By Astadala,1368000,957600,Inclusive of taxes,8.7,Seminyak
Ulu Segara Luxury Suites and Villas,2195389,1778265,Inclusive of taxes,8.8,Nusa Dua Beach
Marriott Bali Nusa Dua Gardens - CHSE Certified,3630000,2722500,Inclusive of taxes,8.8,Nusa Dua Beach
Bali Tropic Resort & Spa,2137500,1389375,Inclusive of taxes,8.5,Tanjung Benoa
Mercure Resort Sanur,998760,914760,Inclusive of taxes,8.4,Sanur
Bali Relaxing Resort & Spa,1479600,739800,Inclusive of taxes,8.5,Tanjung Benoa
Padmasari Resort,2700000,1620000,Inclusive of taxes,8.7,Lovina
Sanur Agung Hotel,332500,266000,Inclusive of taxes,7.9,Sanur
Grandmas Plus Hotel - Legian,2666666,1173333,Inclusive of taxes,8.8,Legian
Tijili Seminyak,1409902,967779,Inclusive of taxes,8.9,Seminyak
Best Western Resort Kuta,639000,511200,Inclusive of taxes,8.1,Badung
Om Ham Retreat and Resort,990000,495000,Inclusive of taxes,9.0,Tegallalang
ION Bali Benoa Hotel,720000,331200,Inclusive of taxes,8.1,Tanjung Benoa
Titik Dua,2392000,2272400,Inclusive of taxes,9.1,Ubud
Sujiwa Ubud Retreat Villa,674100,370755,Inclusive of taxes,8.6,Kemenuh
The Bene - By Astadala,685886,628200,Inclusive of taxes,8.3,Badung
Holiday Inn Express BARUNA BALI,1421141,1065894,Inclusive of taxes,8.4,Badung
New Sunari Lovina Beach Resort,702000,442260,Inclusive of taxes,7.7,Lovina
Kastara Resort,4995000,2597400,Inclusive of taxes,8.9,Payangan
"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua, Bali",5646667,4235000,Inclusive of taxes,9.0,"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua"
Paisa Seminyak Living,1989833,1611765,Inclusive of taxes,8.4,Seminyak
Renaissance Bali Uluwatu Resort & Spa,52191333,39143500,Inclusive of taxes,9.0,Ungasan
Cara Cara Inn,390600,300762,Inclusive of taxes,8.8,Badung
Negara Hotel,405000,202500,Inclusive of taxes,8.0,Negara
bvilla+spa,3915723,3752500,Inclusive of taxes,8.3,Seminyak
Arena Living,1260000,554400,Inclusive of taxes,8.9,Sanur
Mara River Safari Lodge,8702479,6526859,Inclusive of taxes,8.6,Keramas
Bali Nusa Dua Hotel,1890000,1096200,Inclusive of taxes,8.9,Nusa Dua
Praja Hotel,302921,245366,Inclusive of taxes,8.5,Denpasar
S18 Bali Villas,3811500,2429831,Inclusive of taxes,8.9,Legian
Ayola Bali Jimbaran,384000,288000,Inclusive of taxes,8.4,Jimbaran
The Lovina Bali,3366250,1851438,Inclusive of taxes,8.9,Lovina
The Samaya Seminyak,11979000,8145720,Inclusive of taxes,8.5,Seminyak
Bumi Linggah Villas Bali,1845375,830419,Inclusive of taxes,8.8,Sukawati
Bumi Linggah Villas Bali,1845375,830419,Inclusive of taxes,8.8,Sukawati
Hotel Puri Ayu,725000,326250,Inclusive of taxes,8.2,West Denpasar
Plataran Ubud Hotel and Spa,2286900,1715175,Inclusive of taxes,8.9,Monkey Forest
Maison Aurelia Sanur - by PrÃ©fÃ©rence,2840000,2130000,Inclusive of taxes,8.8,Sanur
Grand Barong Resort Bali,855000,684000,Inclusive of taxes,8.6,Poppies
Signature Seminyak Smart Hotel,558000,418500,Inclusive of taxes,8.3,Seminyak
Prana Villa Jimbaran,534843,374390,Inclusive of taxes,8.5,Jimbaran
The Crystal Luxury Bay Resort Nusa Dua - Bali,1940125,873056,Inclusive of taxes,8.1,Nusa Dua
The Sintesa Jimbaran Bali,764716,524897,Inclusive of taxes,8.3,Jimbaran
The Garcia Ubud Hotel and Resort,4418582,1972873,Inclusive of taxes,9.0,Ubud
Amnaya Resort Nusa Dua,9339574,4296204,Inclusive of taxes,9.1,Tanjung Benoa
Jas Green Villas And Spa,4005000,1241550,Inclusive of taxes,8.1,Seminyak
SOL by MeliÃ¡ Kuta Bali,1150569,917610,Inclusive of taxes,8.3,Badung
One Eleven,10800000,8100000,Inclusive of taxes,9.2,Seminyak
18 Suite Villa Loft,1133334,850000,Inclusive of taxes,9.0,Badung
dâprimahotel Seminyak,972000,826200,Inclusive of taxes,8.3,Seminyak
OYO Flagship 2688 Guntur Hotel,313000,244140,Inclusive of taxes,7.7,East Denpasar
Asoka City Bali,390000,292500,Inclusive of taxes,8.0,Badung
OYO 3261 Hotel Ratu,165471,129067,Inclusive of taxes,7.5,West Denpasar
Amnaya Resort Kuta,2871489,1320885,Inclusive of taxes,9.0,Badung
Prime Plaza Suites Sanur â Bali,1741300,1305975,Inclusive of taxes,8.6,Sanur
Yan's House Hotel,2975000,952000,Inclusive of taxes,9.0,Badung
Candi Beach Resort and Spa,3970800,2382480,Inclusive of taxes,8.7,Candidasa
OYO 2225 Catur Adi Putra,179318,139868,Inclusive of taxes,7.9,West Denpasar
Artotel Haniman Ubud,1887717,1295840,Inclusive of taxes,9.0,Ubud
InterContinental Hotels BALI RESORT,5145998,3859423,Inclusive of taxes,8.9,Jimbaran
Segara Village Hotel,1839165,1524239,Inclusive of taxes,8.7,Sanur
Link Costel,333335,250001,Inclusive of taxes,8.1,West Denpasar
Sari Villa Ubud,999999,609999,Inclusive of taxes,8.7,Kedewatan
Dee Mansion,358938,183058,Inclusive of taxes,8.1,West Denpasar
Dee Mansion,358938,183058,Inclusive of taxes,8.1,West Denpasar
Villa Ambara Bali,6496875,5197500,Inclusive of taxes,,Canggu
Puri Saron Seminyak,2880000,1497600,Inclusive of taxes,8.3,Seminyak
KajaNe Yangloni at Ubud Bali,1784500,1338375,Inclusive of taxes,9.1,Ubud
The Leaf Jimbaran Luxury Villas,4725000,2835000,Inclusive of taxes,8.3,Jimbaran
Aria Exclusive Villa & Spa,3600000,2700000,Inclusive of taxes,8.8,Seminyak
Black Penny Villas Ubud,7978667,5984000,Inclusive of taxes,8.8,Kedewatan
Komaneka at Monkey Forest,5400000,3780000,Inclusive of taxes,9.2,Monkey Forest
Maya Ubud Resort & Spa,15622149,9841954,Inclusive of taxes,8.9,Ubud
The Ayu Kintamani Villa at Toya Devasya,2905000,1888250,Inclusive of taxes,8.3,Kintamani
Radisson Blu Bali Uluwatu,3375900,2869515,Inclusive of taxes,8.5,Pecatu
The Sawah Villa,588000,441000,Inclusive of taxes,8.6,Kemenuh
Hotel Mandari,380000,285000,Inclusive of taxes,8.6,Singaraja
Graha Socio  Hotel Nusa Dua,1641751,816751,Inclusive of taxes,,Nusa Dua
Senetan Villas and Spa Resort,2430000,1701000,Inclusive of taxes,8.7,Payangan
Legian Beach Hotel,3082556,2115992,Inclusive of taxes,8.4,Legian
Bali Golden Elephant,540000,270000,Inclusive of taxes,7.9,Jimbaran
BALQUISSE Heritage Hotel,1620000,1296000,Inclusive of taxes,9.0,Jimbaran
Adhi Jaya Hotel,1854000,778680,Inclusive of taxes,8.7,Badung
ibis Bali Legian Street,696960,522720,Inclusive of taxes,8.6,Legian
Kampi Villas by Premier Hospitality Asia,6120000,3060000,Inclusive of taxes,7.6,Nusa Dua Beach
Inna Sindhu Beach Hotel & Resort,1197000,897750,Inclusive of taxes,8.6,Sanur
Bintang Kuta Hotel,1530000,765000,Inclusive of taxes,8.7,Badung
Odika Lovina House and Villas,1472500,515375,Inclusive of taxes,8.6,Lovina
Kampung Cenik,728333,546250,Inclusive of taxes,8.9,Legian
Ananta Legian Hotel,625050,562545,Inclusive of taxes,8.0,Legian
Bali Mandira Beach Resort & Spa,5890000,4417500,Inclusive of taxes,8.3,Legian
Komaneka at Rasa Sayang,2700000,1890000,Inclusive of taxes,9.1,Monkey Forest
Hotel Grand Santhi,900000,315000,Inclusive of taxes,8.0,West Denpasar
Grand Mirah Boutique Hotel,607500,388800,Inclusive of taxes,8.5,East Denpasar
Ramayana Suites & Resort,1710000,1248300,Inclusive of taxes,8.6,Badung
Keraton Jimbaran Resort,780079,631864,Inclusive of taxes,8.3,Jimbaran
Inna Bali Heritage Hotel,693000,381150,Inclusive of taxes,8.3,North Denpasar
Alam Sembuwuk Resort Ubud,765000,367200,Inclusive of taxes,8.5,Tampaksiring
The Rinaya Canggu by ecommerceloka,1544013,783693,Inclusive of taxes,8.0,Canggu
Hideaway Villas Bali Uluwatu by Kanaan Hospitality,3438000,2750400,Inclusive of taxes,8.8,Pecatu
Melasti Kuta Bungalows and Spa,850000,280500,Inclusive of taxes,7.9,Badung
Serela Legian by KAGUM Hotels,454500,386325,Inclusive of taxes,8.4,Legian
Villa Harmony Residence,2940000,2205000,Inclusive of taxes,8.0,Seminyak
Bali Sandy Resort,1109822,680400,Inclusive of taxes,8.0,Poppies
Wirton Seminyak Boutique Hotel,468000,351000,Inclusive of taxes,8.3,Seminyak
Adi Assri Beach Resort & Spa,799077,647253,Inclusive of taxes,8.4,Pemuteran
Goya Boutique Resort,6850994,5001226,Inclusive of taxes,8.8,Ubud
OYO 1654 Maha Bharata Kuta Inn,357452,178726,Inclusive of taxes,7.8,Legian
Mahagiri Resort Nusa Lembongan,1099156,754540,Inclusive of taxes,8.8,Nusa Lembongan
Yucca Villas,5750000,2875000,Inclusive of taxes,9.2,Canggu
Grand La Walon Hotel,630000,504000,Inclusive of taxes,8.7,Legian
Beautiful Bali Villas,3120300,2496240,Inclusive of taxes,8.6,Legian
Bali Rani Hotel,2250000,945000,Inclusive of taxes,8.6,Badung
Lasanti Villas and Spa Seminyak,2936000,1556080,Inclusive of taxes,8.9,Seminyak
Kuta Central Park Hotel,1794000,717600,Inclusive of taxes,8.3,Badung
Ubud Hills Villa and Resort,4440000,1514928,Inclusive of taxes,8.7,Tegallalang
Nusa Majesty,625500,375300,Inclusive of taxes,8.4,Nusa Penida
Jas Boutique Villas,4095000,1269450,Inclusive of taxes,8.5,Seminyak
Coco De Heaven,450000,202500,Inclusive of taxes,8.1,Jimbaran
Adiwana Dara Ayu Villas,3820431,3094549,Inclusive of taxes,8.6,Payangan
The Magani Hotel and Spa,1455345,1353471,Inclusive of taxes,8.5,Legian
Bayad Ubud Bali Villa,1773334,1330001,Inclusive of taxes,8.0,Payangan
Kubu GWK Resort,1755000,614250,Inclusive of taxes,8.8,Jimbaran
"The Lokha Ubud Resort, Villas & Spa",1681569,870400,Inclusive of taxes,8.8,Payangan
Wina Holiday Villa Kuta Bali,917563,743226,Inclusive of taxes,8.3,Badung
Gending Kedis Luxury Villas & Spa Estate,11340000,6463800,Inclusive of taxes,8.7,Jimbaran
Plagoo Holiday Hotel,669031,459285,Inclusive of taxes,8.3,Nusa Dua
Nesa Sanur,710285,484877,Inclusive of taxes,8.3,Sanur
Hotel Sorga Cottages Kuta,238621,208249,Inclusive of taxes,8.0,Poppies
Argya Santi Resort,660000,495000,Inclusive of taxes,8.7,Jimbaran
The Diana Suite Hotel,710775,355388,Inclusive of taxes,8.7,Tuban
Rantun's Place,836104,568551,Inclusive of taxes,8.0,Nusa Dua Beach
Tropico Jimbaran Bali,323760,226632,Inclusive of taxes,8.8,Jimbaran
Gana Hotel & Restaurant,1260000,630000,Inclusive of taxes,8.9,Monkey Forest
Peppers Seminyak,15246000,11434500,Inclusive of taxes,8.3,Seminyak
Taman Harum Cottages,1759500,1055700,Inclusive of taxes,8.2,Ubud
Mutiara Bali Boutique Resort Villas and Spa,1811350,905675,Inclusive of taxes,8.8,Seminyak
OYO 1200 Kencana Residence,257643,200962,Inclusive of taxes,8.3,Jimbaran
The Hill Ungasan Bukit Jimbaran,630000,214200,Inclusive of taxes,8.3,Jimbaran
Karang Lila Bhuana Ubud,682521,511891,Inclusive of taxes,9.3,Ubud
The Alantara Sanur,1362060,934973,Inclusive of taxes,8.8,Sanur
Destiny Boutique Hotel,1449459,565289,Inclusive of taxes,8.4,Seminyak
Kuwarasan A Pramana Experience,2439000,1829250,Inclusive of taxes,9.0,Tegallalang
OYO 2184 Nan Berlian Inn,228042,143666,Inclusive of taxes,7.0,Legian
Tanadewa Resort & Spa Ubud,3972152,1866911,Inclusive of taxes,8.7,Ubud
Dinara Ubud,2923044,1153153,Inclusive of taxes,8.8,Ubud
Samuh Ocean Sunset Hotel by WizZeLa,1099687,769781,Inclusive of taxes,8.1,Nusa Penida
Omatha Village,612000,336600,Inclusive of taxes,8.7,East Denpasar
The Awan Villas,4652458,1628360,Inclusive of taxes,8.6,Seminyak
Alam Kulkul Boutique Resort,1783710,981041,Inclusive of taxes,8.4,Legian
"Abian Srama Hotel, Massage And Spa",173333,130000,Inclusive of taxes,7.5,Sanur
Astagina Resort Villa and Spa,3402936,1692918,Inclusive of taxes,8.4,Legian
Pondok Anyar Hotel,517500,258750,Inclusive of taxes,8.0,Badung
"FuramaXclusive Resort & Villas, Ubud",1350000,796500,Inclusive of taxes,8.5,Abiansemal
Nata Ubud,1440000,921600,Inclusive of taxes,8.4,Ubud
The Bandha Hotel & Suites,5687147,3903924,Inclusive of taxes,8.9,Legian
Hotel Terrace at Kuta,757052,459000,Inclusive of taxes,8.7,Legian
Dedary Resort Ubud,2400000,1560000,Inclusive of taxes,8.7,Tegallalang
Adelia Residence,121021,90766,Inclusive of taxes,8.1,West Denpasar
La Berceuse Resort and Villa Nusa Dua by Taritiya Collection,2153844,1184614,Inclusive of taxes,8.5,Nusa Dua
