Hotel Name,Original price,Price after discount,Tax,Rating,location,Rating(5)
Pondok Bali Guest House,Rp 266.667,Rp 200.000,Inclusive of taxes,8.8,"Lovina, Bali",4.4
Puri Padi Hotel,Rp 933.333,Rp 700.000,Inclusive of taxes,7.3,"Monkey Forest, Bali",3.65
The Radiant Hotel and Spa,Rp 850.000,Rp 425.000,Inclusive of taxes,8.3,"Tuban, Bali",4.15
The Backyard House,Rp 210.667,Rp 158.000,Inclusive of taxes,8.7,"Tanah Lot, Bali",4.35
Taman Mekar Beach Inn,Rp 217.858,Rp 135.072,Inclusive of taxes,8.2,"Poppies, Bali",4.1
Pradhana Residence,Rp 240.000,Rp 180.000,Inclusive of taxes,8.3,"Tuban, Bali",4.15
"Puri Lumbung Restaurant, Cottage & Waterpark Mengwi",Rp 535.476,Rp 401.607,Inclusive of taxes,n/a,"Mengwi, Bali",#VALUE!
Eat Sleep Skate,Rp 1.179.175,Rp 1.080.001,Inclusive of taxes,8.6,"East Denpasar, Bali",4.3
OYO 90810 Ravaya Homestay,Rp 120.796,Rp 76.101,Inclusive of taxes,n/a,"Singaraja, Bali",#VALUE!
Kubu B'dauh Homestay,Rp 313.333,Rp 235.000,Inclusive of taxes,7.9,"Legian, Bali",3.95
Nusa Sedayu hotel,Rp 1.066.666,Rp 799.999,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Jepun Bali Hotel,Rp 1.046.760,Rp 785.070,Inclusive of taxes,8.7,"Kuta, Bali",4.35
Pertiwi Bisma 2,Rp 1.575.000,Rp 677.250,Inclusive of taxes,8.3,"Monkey Forest, Bali",4.15
Mimpi Resort Tulamben Dive and Spa,Rp 1.508.490,Rp 1.001.300,Inclusive of taxes,8.5,"Tulamben, Bali",4.25
Karang Sari Guesthouse & Restaurant,Rp 348.000,Rp 261.000,Inclusive of taxes,8.7,"Munduk, Bali",4.35
Taos House Nusa Lembongan by Best Deals Asia Hospitality,Rp 937.500,Rp 375.000,Inclusive of taxes,8.9,"Nusa Lembongan, Bali",4.45
Bintang Bungalow Nusa Penida,Rp 834.600,Rp 625.950,Inclusive of taxes,8.7,"Nusa Penida, Bali",4.35
Hotel Lestari Gilimanuk,Rp 220.000,Rp 165.000,Inclusive of taxes,8.2,"Gilimanuk, Bali",4.1
Rise Apartment Sanur,Rp 414.960,Rp 311.220,Inclusive of taxes,n/a,"Sanur, Bali",#VALUE!
Wadari Retreat Villa Ubud,Rp 2.160.000,Rp 1.490.400,Inclusive of taxes,8.5,"Sukawati, Bali",4.25
Ocean Brothers Ceningan,Rp 599.999,Rp 449.999,Inclusive of taxes,8.5,"Nusa Ceningan, Bali",4.25
Kumari Villa,Rp 2.280.000,Rp 1.710.000,Inclusive of taxes,7.8,"Kerobokan, Bali",3.9
Asri Sari Ubud Resort & Villa,Rp 720.000,Rp 288.000,Inclusive of taxes,7.9,"Ubud, Bali",3.95
Respati Beach Hotel,Rp 2.399.999,Rp 1.799.999,Inclusive of taxes,8.5,"Sanur, Bali",4.25
Villa Baba Lovina,Rp 466.667,Rp 350.000,Inclusive of taxes,n/a,"Lovina, Bali",#VALUE!
Bali Mountain Retreat,Rp 466.667,Rp 350.000,Inclusive of taxes,n/a,"Selemadeg, Bali",#VALUE!
Wawa Wewe II Villas,Rp 699.999,Rp 524.999,Inclusive of taxes,8.2,"Amed, Bali",4.1
Cozy Palm,Rp 266.665,Rp 199.999,Inclusive of taxes,8.3,"Jimbaran, Bali",4.15
Tirta Ening Agung Hotel,Rp 540.000,Rp 405.000,Inclusive of taxes,8.3,"Sanur, Bali",4.15
Antari Hotel Pemuteran,Rp 1.066.666,Rp 799.999,Inclusive of taxes,8.3,"Pemuteran, Bali",4.15
Trijaya Guest House,Rp 163.875,Rp 147.488,Inclusive of taxes,8.8,"Pemuteran, Bali",4.4
Interconnection Kuta,Rp 418.000,Rp 313.500,Inclusive of taxes,8.9,"Kuta, Bali",4.45
Bukit Permata Lembongan,Rp 333.334,Rp 250.000,Inclusive of taxes,n/a,"Nusa Lembongan, Bali",#VALUE!
OYO 90895 Giri Puspa Guest Hose,Rp 252.537,Rp 196.979,Inclusive of taxes,n/a,"Nusa Dua, Bali",#VALUE!
Rumah Roda Home Stay,Rp 1.317.769,Rp 450.001,Inclusive of taxes,8.9,"Ubud, Bali",4.45
Balitone Guest House,Rp 360.000,Rp 313.200,Inclusive of taxes,8.3,"West Denpasar, Bali",4.15
Made House Sanur,Rp 98.264,Rp 90.000,Inclusive of taxes,8.6,"Sanur, Bali",4.3
Flamingo Dewata Suite,Rp 3.350.970,Rp 1.005.291,Inclusive of taxes,9,"Pecatu, Bali",4.5
Uma Kutuh 2,Rp 288.000,Rp 201.600,Inclusive of taxes,8,"Ubud, Bali",4
Utari Residence Legian,Rp 233.333,Rp 175.000,Inclusive of taxes,8.7,"Legian, Bali",4.35
Gapul Homestay,Rp 204.000,Rp 153.000,Inclusive of taxes,8.1,"Nusa Penida, Bali",4.05
Margareth Homestay,Rp 170.000,Rp 158.100,Inclusive of taxes,8.3,"Ungasan, Bali",4.15
Jesen's Inn 2,Rp 399.999,Rp 299.999,Inclusive of taxes,8.1,"Kuta, Bali",4.05
Balian Paradise Resort,Rp 320.000,Rp 224.000,Inclusive of taxes,7.2,"Balian, Bali",3.6
Yuda Homestay Nusa Penida,Rp 540.000,Rp 405.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Dream Beach Cottages,Rp 482.644,Rp 399.999,Inclusive of taxes,n/a,"Nusa Lembongan, Bali",#VALUE!
Mejore Beach Hotel,Rp 1.350.000,Rp 945.000,Inclusive of taxes,8.7,"Amed, Bali",4.35
Kubu Mekarsari Homestay,Rp 448.180,Rp 336.135,Inclusive of taxes,8.2,"Jimbaran, Bali",4.1
Bali Bobo Hostel,Rp 160.001,Rp 120.001,Inclusive of taxes,9.3,"Jimbaran, Bali",4.65
Hill Dance Bali American Hotel,Rp 933.333,Rp 700.000,Inclusive of taxes,n/a,"Jimbaran, Bali",#VALUE!
The Visala Boutique Suite Seminyak,Rp 2.765.703,Rp 1.650.000,Inclusive of taxes,8.6,"Seminyak, Bali",4.3
Hartaning House by Pramana Villas,Rp 581.382,Rp 319.760,Inclusive of taxes,8.4,"Ubud, Bali",4.2
Green Beach Inn,Rp 532.471,Rp 487.688,Inclusive of taxes,8.8,"Nusa Penida, Bali",4.4
White Sandy Beach Menjangan,Rp 380.000,Rp 285.000,Inclusive of taxes,8.5,"Menjangan, Bali",4.25
Scuba Tribe Bali,Rp 380.000,Rp 239.400,Inclusive of taxes,9.3,"Tulamben, Bali",4.65
White Sandy Beach Menjangan,Rp 380.000,Rp 285.000,Inclusive of taxes,8.5,"Menjangan, Bali",4.25
Scuba Tribe Bali,Rp 380.000,Rp 239.400,Inclusive of taxes,9.3,"Tulamben, Bali",4.65
G7 Residence,Rp 380.000,Rp 285.000,Inclusive of taxes,8.2,"Nusa Dua, Bali",4.1
The Amrita Salt Farm Villas,Rp 1.266.668,Rp 950.001,Inclusive of taxes,n/a,"Tejakula, Bali",#VALUE!
Namastay,Rp 198.000,Rp 118.800,Inclusive of taxes,9.2,"Monkey Forest, Bali",4.6
Balisanti Bungalows,Rp 775.798,Rp 710.550,Inclusive of taxes,8.8,"Candidasa, Bali",4.4
Bramasa Guesthouse & Gallery,Rp 630.000,Rp 315.000,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Aru House Ubud,Rp 133.333,Rp 100.000,Inclusive of taxes,n/a,"Monkey Forest, Bali",#VALUE!
Mutiara Kost - Imam Bonjol Denpasar,Rp 200.000,Rp 150.000,Inclusive of taxes,8,"West Denpasar, Bali",4
Desila Beach House,Rp 289.155,Rp 216.866,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Kencana Ubud Cottage,Rp 348.750,Rp 296.438,Inclusive of taxes,9.1,"Ubud, Bali",4.55
Svaha Ubud,Rp 360.000,Rp 270.000,Inclusive of taxes,7.9,"Ubud, Bali",3.95
Sahera  Hotel Karangasem,Rp 733.332,Rp 549.999,Inclusive of taxes,9,"Amed, Bali",4.5
Jati 3 Bungalow & Spa,Rp 466.666,Rp 350.000,Inclusive of taxes,7.6,"Monkey Forest, Bali",3.8
Hotel The Flora Kuta Bali,Rp 420.000,Rp 315.000,Inclusive of taxes,8.5,"Kuta, Bali",4.25
Darba Guest House,Rp 585.000,Rp 280.800,Inclusive of taxes,9.3,"Ubud, Bali",4.65
Liberty Dive Resort,Rp 966.667,Rp 725.000,Inclusive of taxes,7.3,"Tulamben, Bali",3.65
Sing sing Residence,Rp 333.333,Rp 250.000,Inclusive of taxes,n/a,"West Denpasar, Bali",#VALUE!
Umah Anila,Rp 300.811,Rp 225.608,Inclusive of taxes,8.9,"Ubud, Bali",4.45
The Swell,Rp 222.000,Rp 166.500,Inclusive of taxes,8.7,"Tanah Lot, Bali",4.35
Sayang Residence I,Rp 386.289,Rp 239.499,Inclusive of taxes,7.2,"West Denpasar, Bali",3.6
Bali Nusa Cottage,Rp 300.811,Rp 225.608,Inclusive of taxes,8.3,"Nusa Lembongan, Bali",4.15
The Ayudya Gelogor Carik,Rp 245.662,Rp 225.001,Inclusive of taxes,8.2,"South Denpasar, Bali",4.1
deSeruni Guest House,Rp 373.939,Rp 231.842,Inclusive of taxes,8.7,"West Denpasar, Bali",4.35
Kubu Kalih,Rp 474.942,Rp 292.550,Inclusive of taxes,7.8,"South Denpasar, Bali",3.9
BB Homestay Two,Rp 250.000,Rp 230.000,Inclusive of taxes,6.9,"Pecatu, Bali",3.45
Green Palace Homestay Nusa Penida,Rp 370.291,Rp 229.580,Inclusive of taxes,8.3,"Nusa Penida, Bali",4.15
The Puncak Santhi Inn,Rp 200.000,Rp 180.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Nyuh Gading Bungalow,Rp 262.800,Rp 197.100,Inclusive of taxes,9.1,"Nusa Penida, Bali",4.55
Genta House,Rp 369.600,Rp 277.200,Inclusive of taxes,n/a,"Kuta, Bali",#VALUE!
Sanur Ayu Hotel,Rp 329.333,Rp 247.000,Inclusive of taxes,7.7,"Sanur, Bali",3.85
Doubleyou Home Stay Pemuteran,Rp 333.335,Rp 250.001,Inclusive of taxes,n/a,"Pemuteran, Bali",#VALUE!
Sukanusa Luxury Huts,Rp 530.627,Rp 485.999,Inclusive of taxes,8.8,"Nusa Lembongan, Bali",4.4
Kerti Beach Bungalow and Restaurant,Rp 307.573,Rp 230.680,Inclusive of taxes,7.2,"Padangbai, Bali",3.6
Madu Sari Hotel Kintamani,Rp 306.667,Rp 230.000,Inclusive of taxes,7.8,"Kintamani, Bali",3.9
The Somayan Bungalows,Rp 228.160,Rp 190.445,Inclusive of taxes,8.9,"Nusa Penida, Bali",4.45
Mulia Home Stay,Rp 286.666,Rp 214.999,Inclusive of taxes,n/a,"Kutuh, Bali",#VALUE!
Bhuwana Ubud Hotel and Farming,Rp 995.330,Rp 734.999,Inclusive of taxes,8.8,"Ubud, Bali",4.4
Suly Vegetarian Resort & Spa,Rp 1.068.958,Rp 564.000,Inclusive of taxes,7.8,"Ubud, Bali",3.9
Sari Indah Cottages,Rp 348.524,Rp 216.085,Inclusive of taxes,8.4,"Legian, Bali",4.2
Puri Sading Hotel,Rp 938.664,Rp 560.001,Inclusive of taxes,8.2,"Sanur, Bali",4.1
Teba House Bisma Ubud,Rp 308.137,Rp 156.401,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Wahyu Masari Homestay Penida,Rp 329.400,Rp 247.050,Inclusive of taxes,9,"Nusa Penida, Bali",4.5
The Banana House Nusa Penida,Rp 202.500,Rp 172.125,Inclusive of taxes,9.3,"Nusa Penida, Bali",4.65
OYO Flagship 91062 Antara Sunset Road,Rp 343.194,Rp 267.691,Inclusive of taxes,7.9,"South Denpasar, Bali",3.95
The Niti Hut's Lembongan,Rp 973.333,Rp 730.000,Inclusive of taxes,8.5,"Nusa Lembongan, Bali",4.25
Ubud Sari Health Resort,Rp 895.691,Rp 521.699,Inclusive of taxes,8.5,"Ubud, Bali",4.25
The Ruum,Rp 165.636,Rp 91.100,Inclusive of taxes,8.7,"Canggu, Bali",4.35
Bale Bali House,Rp 260.000,Rp 195.000,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Kondra Premiere Guest House,Rp 724.104,Rp 354.811,Inclusive of taxes,8.3,"Legian, Bali",4.15
Kememai Hostel,Rp 138.155,Rp 75.985,Inclusive of taxes,8.6,"Monkey Forest, Bali",4.3
Rita ZA Hotel,Rp 196.078,Rp 137.255,Inclusive of taxes,6.5,"Legian, Bali",3.25
CHEZ IDA,Rp 600.001,Rp 450.001,Inclusive of taxes,8.4,"Ubud, Bali",4.2
Shangrilah Villas,Rp 558.347,Rp 360.000,Inclusive of taxes,8,"Baturiti, Bali",4
Teja Homestay,Rp 399.999,Rp 299.999,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Kailash Homestay,Rp 532.000,Rp 399.000,Inclusive of taxes,8.5,"Padangbai, Bali",4.25
Taxa Uma,Rp 295.380,Rp 183.136,Inclusive of taxes,8.2,"Kuta, Bali",4.1
THE AYUDYA PURA DEMAK,Rp 266.667,Rp 200.000,Inclusive of taxes,n/a,"West Denpasar, Bali",#VALUE!
The Ocean Sunset Villas Ceningan,Rp 733.332,Rp 549.999,Inclusive of taxes,8.2,"Nusa Ceningan, Bali",4.1
The Nicho's Bungalows & Villas,Rp 346.962,Rp 332.499,Inclusive of taxes,8.4,"Nusa Lembongan, Bali",4.2
Gedhong Hostel,Rp 230.557,Rp 115.279,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Hotel Mawar II Denpasar,Rp 216.600,Rp 162.450,Inclusive of taxes,7.6,"West Denpasar, Bali",3.8
Cool Breeze Bungalow Nusa Penida,Rp 337.500,Rp 253.125,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Mekar Jaya Bungalows,Rp 202.667,Rp 152.000,Inclusive of taxes,7.6,"Legian, Bali",3.8
Van Santri Homestay Pemuteran,Rp 173.333,Rp 130.000,Inclusive of taxes,9,"Pemuteran, Bali",4.5
LaGriya Guest House,Rp 637.500,Rp 478.125,Inclusive of taxes,7.6,"East Denpasar, Bali",3.8
Putri Homestay,Rp 699.999,Rp 524.999,Inclusive of taxes,n/a,"Sanur, Bali",#VALUE!
Kubu Turah Homestay,Rp 274.716,Rp 166.027,Inclusive of taxes,7.3,"Jimbaran, Bali",3.65
Uma Kutuh Bungalow,Rp 191.076,Rp 143.307,Inclusive of taxes,7.3,"Ubud, Bali",3.65
Bukit Indah Homestay,Rp 190.000,Rp 142.500,Inclusive of taxes,8.5,"Amed, Bali",4.25
OYO 90089 Hotel Satria Syariah,Rp 129.073,Rp 100.677,Inclusive of taxes,8.8,"North Denpasar, Bali",4.4
Ramp Cottage,Rp 399.999,Rp 299.999,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Buda Cottage Ubud,Rp 343.925,Rp 314.999,Inclusive of taxes,n/a,"Tampaksiring, Bali",#VALUE!
Omah Nusa Villa,Rp 333.334,Rp 250.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Kubu Indah Guest House,Rp 235.835,Rp 216.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Bali Asli Lodge by EPS,Rp 395.882,Rp 216.750,Inclusive of taxes,8.5,"Ubud, Bali",4.25
Ninja Suite Villa,Rp 511.693,Rp 317.250,Inclusive of taxes,7.8,"East Denpasar, Bali",3.9
Matta Lodge Bali,Rp 228.000,Rp 171.000,Inclusive of taxes,8.6,"Jimbaran, Bali",4.3
Bulan Bali Homestay & Hostel,Rp 300.000,Rp 225.000,Inclusive of taxes,8.9,"Ubud, Bali",4.45
Ramaya Ubud View by EPS,Rp 268.920,Rp 242.028,Inclusive of taxes,7.5,"Payangan, Bali",3.75
Ubud Canti Accommodation,Rp 266.668,Rp 200.001,Inclusive of taxes,8.1,"Ubud, Bali",4.05
Amed Sari Beach Guesthouse,Rp 266.668,Rp 200.001,Inclusive of taxes,n/a,"Amed, Bali",#VALUE!
Medal Jaya Hostel & Room,Rp 133.333,Rp 100.000,Inclusive of taxes,n/a,"Nusa Lembongan, Bali",#VALUE!
The Warji Bisma,Rp 426.515,Rp 275.000,Inclusive of taxes,8.5,"Ubud, Bali",4.25
Arnata Guest House,Rp 133.333,Rp 100.000,Inclusive of taxes,7.5,"Susut, Bali",3.75
Eliska Sari Bungalows,Rp 276.000,Rp 207.000,Inclusive of taxes,9,"Menjangan, Bali",4.5
Bulan Bali Hostel,Rp 100.000,Rp 75.000,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Askara Guest House & Hostel,Rp 200.000,Rp 150.000,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Write Hostel,Rp 127.744,Rp 117.000,Inclusive of taxes,9,"Nusa Penida, Bali",4.5
The Calna Villa Bali,Rp 2.254.792,Rp 1.826.382,Inclusive of taxes,8.8,"Kuta, Bali",4.4
Artaloka Hotel Penida,Rp 666.667,Rp 500.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
The Calna Villa Bali,Rp 2.254.792,Rp 1.826.382,Inclusive of taxes,8.8,"Kuta, Bali",4.4
Artaloka Hotel Penida,Rp 666.667,Rp 500.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Delight ART Villas,Rp 9.684.112,Rp 7.263.084,Inclusive of taxes,n/a,"Seminyak, Bali",#VALUE!
The Garuda Homestay Sanur,Rp 320.000,Rp 272.000,Inclusive of taxes,n/a,"Sanur, Bali",#VALUE!
Castaway Resort Lembongan,Rp 2.857.631,Rp 2.143.223,Inclusive of taxes,n/a,"Nusa Lembongan, Bali",#VALUE!
"Dua Dari, a Residence by Hadiprana",Rp 3.750.000,Rp 3.375.000,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Sebuluh Sunset Hill Penida,Rp 1.403.100,Rp 841.860,Inclusive of taxes,9.5,"Nusa Penida, Bali",4.75
Kania Villa by WizZeLa,Rp 700.000,Rp 427.000,Inclusive of taxes,n/a,"Nusa Dua, Bali",#VALUE!
Watu Jineng by WizZeLa,Rp 382.500,Rp 267.750,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
The Bhaswara Ubud,Rp 705.750,Rp 529.313,Inclusive of taxes,n/a,"Sukawati, Bali",#VALUE!
The Kd Suites & Coffee Shop,Rp 1.200.000,Rp 600.000,Inclusive of taxes,n/a,"Cemagi, Bali",#VALUE!
Villa Paradise Uluwatu,Rp 12.266.666,Rp 9.200.000,Inclusive of taxes,n/a,"Ungasan, Bali",#VALUE!
Aventus Resort Ubud,Rp 819.000,Rp 573.300,Inclusive of taxes,n/a,"Tegallalang, Bali",#VALUE!
Prayatna Villas,Rp 2.000.000,Rp 1.500.000,Inclusive of taxes,n/a,"Sebatu, Bali",#VALUE!
Lovina Beach 1 & 2,Rp 12.118.553,Rp 9.088.915,Inclusive of taxes,n/a,"Banjar, Bali",#VALUE!
"Dua Dari, a Residence by Hadiprana",Rp 3.750.000,Rp 3.375.000,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Sebuluh Sunset Hill Penida,Rp 1.403.100,Rp 841.860,Inclusive of taxes,9.5,"Nusa Penida, Bali",4.75
Kania Villa by WizZeLa,Rp 700.000,Rp 427.000,Inclusive of taxes,n/a,"Nusa Dua, Bali",#VALUE!
Watu Jineng by WizZeLa,Rp 382.500,Rp 267.750,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
GK Bali Resort,Rp 3.022.500,Rp 1.360.125,Inclusive of taxes,n/a,"Sebatu, Bali",#VALUE!
Amala Villas Ubud,Rp 10.694.063,Rp 8.555.250,Inclusive of taxes,n/a,"Payangan, Bali",#VALUE!
Danakha Villa Ubud,Rp 3.750.000,Rp 1.500.000,Inclusive of taxes,n/a,"Tegallalang, Bali",#VALUE!
Kalya Villa by Supala,Rp 1.074.228,Rp 762.702,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
The Sagara Penida,Rp 1.866.667,Rp 1.400.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
The Royal Santrian,Rp 10.585.884,Rp 7.266.547,Inclusive of taxes,n/a,"Tanjung Benoa, Bali",#VALUE!
Kelingking Sunset Point Hotel & Spa,Rp 1.295.000,Rp 971.250,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Manda Villa.,Rp 2.085.616,Rp 1.249.476,Inclusive of taxes,n/a,"Nusa Dua, Bali",#VALUE!
GK Bali Resort,Rp 3.022.500,Rp 1.360.125,Inclusive of taxes,n/a,"Sebatu, Bali",#VALUE!
Homestay Mas Arjuna,Rp 291.739,Rp 180.878,Inclusive of taxes,n/a,"West Denpasar, Bali",#VALUE!
The Sayan House,Rp 20.000.000,Rp 15.000.000,Inclusive of taxes,n/a,"Sayan, Bali",#VALUE!
,,,,,,0
,,,,,,0
