Hotel Name,Original price,Price after discount,Tax,Rating,location,Rating(5)
Pondok Sebatu Ecolodge,Rp 1.440.000,Rp 1.008.000,Inclusive of taxes,8.9,"Sebatu, Bali",4.45
Teba House Ubud by ecommerceloka,Rp 289.080,Rp 127.195,Inclusive of taxes,8.2,"Ubud, Bali",4.1
Bali Seascape Beach Club,Rp 1.575.000,Rp 787.500,Inclusive of taxes,8.3,"Candidasa, Bali",4.15
Hotel Griya Ayu Inn Sanur,Rp 332.179,Rp 249.134,Inclusive of taxes,8.5,"Sanur, Bali",4.25
Puri Mangga Sea View Boutique Resort and Spa,Rp 1.020.311,Rp 765.233,Inclusive of taxes,n/a,"Lovina, Bali",#VALUE!
Puri Astrani by WizZeLa,Rp 1.084.197,Rp 830.375,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Villa Puri Cili Ubud,Rp 807.500,Rp 395.675,Inclusive of taxes,7.9,"Sukawati, Bali",3.95
Ananda Ubud Resort,Rp 1.219.500,Rp 914.625,Inclusive of taxes,8.8,"Kedewatan, Bali",4.4
Made Giri Homestay,Rp 240.963,Rp 180.722,Inclusive of taxes,8.5,"Sanur, Bali",4.25
Gayatri Bungalows Nusa Penida,Rp 431.100,Rp 258.660,Inclusive of taxes,8.7,"Nusa Penida, Bali",4.35
Sea Breeze Candidasa Bali,Rp 3.040.000,Rp 2.280.000,Inclusive of taxes,8.7,"Candidasa, Bali",4.35
Bali Taman Beach Resort & Spa Lovina,Rp 1.659.421,Rp 990.000,Inclusive of taxes,8.5,"Lovina, Bali",4.25
The Paica,Rp 427.500,Rp 213.750,Inclusive of taxes,8.2,"West Denpasar, Bali",4.1
Palm Beach Hotel Bali,Rp 425.000,Rp 318.750,Inclusive of taxes,8.2,"Kuta, Bali",4.1
The Rani Garden Bed & Breakfast,Rp 652.500,Rp 261.000,Inclusive of taxes,8.5,"South Denpasar, Bali",4.25
Three Brothers Bungalows and Villas,Rp 1.260.000,Rp 630.000,Inclusive of taxes,8.6,"Legian, Bali",4.3
Di Uma Residence Hotel & Dormitory,Rp 101.204,Rp 75.903,Inclusive of taxes,8.3,"South Denpasar, Bali",4.15
The VinHill Studio Bali Apartment,Rp 400.000,Rp 300.000,Inclusive of taxes,8.4,"South Denpasar, Bali",4.2
OYO 3190 Pondok Putra Bersaudara,Rp 143.638,Rp 112.038,Inclusive of taxes,6.8,"South Denpasar, Bali",3.4
Ayu Laba Beach Villa and Resto,Rp 566.667,Rp 425.000,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Tanah Penida Bungalow,Rp 237.500,Rp 190.000,Inclusive of taxes,9,"Nusa Penida, Bali",4.5
Mimi Manis Bungalow,Rp 593.300,Rp 444.975,Inclusive of taxes,8.5,"Kedewatan, Bali",4.25
Angsoka Hotel,Rp 234.333,Rp 175.750,Inclusive of taxes,8.5,"Lovina, Bali",4.25
OYO 90302 Wisma Damai,Rp 156.801,Rp 122.305,Inclusive of taxes,5.9,"West Denpasar, Bali",2.95
AB Kuta Hotel,Rp 569.600,Rp 273.408,Inclusive of taxes,8.7,"Kuta, Bali",4.35
Budhi Kuta Beach Inn,Rp 190.000,Rp 142.500,Inclusive of taxes,7.6,"Kuta, Bali",3.8
Khalisha Villa Medewi,Rp 456.000,Rp 342.000,Inclusive of taxes,8.4,"Mendoyo, Bali",4.2
Balangan Inn,Rp 190.000,Rp 142.500,Inclusive of taxes,7.9,"Jimbaran, Bali",3.95
The Janan Villa,Rp 800.001,Rp 600.001,Inclusive of taxes,8.3,"Sanur, Bali",4.15
The Payogan Villa Resort & Spa,Rp 4.230.000,Rp 2.664.900,Inclusive of taxes,8.6,"Kedewatan, Bali",4.3
Puri Sunset Homestay,Rp 380.000,Rp 285.000,Inclusive of taxes,8.8,"Munduk, Bali",4.4
Awan Bali House,Rp 540.000,Rp 270.000,Inclusive of taxes,8.9,"Ubud, Bali",4.45
Coliving Bali Sweet Home Kost Lengkap di Tabanan Kota,Rp 110.400,Rp 82.800,Inclusive of taxes,8.9,"Tabanan Kota, Bali",4.45
Purana Boutique Resort,Rp 1.500.000,Rp 1.125.000,Inclusive of taxes,9.2,"Ubud, Bali",4.6
